customercode,routecode,routename,supervisorname,customername,regionmstname,Sales Apr2026,Sales Mar2026,Sales Feb2026,Sales Jan2026,Sales Dec,Sales Nov,Sales Oct,Sales Sep,Sales Aug,Sales Jul,Sales Jun,Sales May,Sales Apr,Sales Mar,Sales Feb,Sales jan,Last Transaction MonthYear,Months Bucket,Customer Status,Remarks,Updated By,Updated Date
5100041,51044,SHJ BQ 1,Habeeb Abdulkader,AL THIMAR AL LIBNANIA MARKETS BR-1,AL DHAID,0,640.8,14955.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1763.11,0.0,34,Mar 2026,1 Month,,,,
5100067,51005,SHJ BQ 2,Habeeb Abdulkader,Emirates Sea Restaurant,AL DHAID,0,0.0,0.0,0.0,0.0,1380.0,23.5,10.0,0.0,0.0,28,1,20,0.0,40.0,74,Nov 2025,4–6 Months,,,,
5100074,51012,SHJ BQ 3,Habeeb Abdulkader,AL MUNSHAR GROCERY,AL DHAID,0,0.0,0.0,0.0,238.006,0.0,101.6,0.0,0.0,0.0,219,8,123,1.2,2.4,9,Dec 2025,4–6 Months,,,,
510010009,51047,FUJ BQ,Shakkeer,ZEHOUR KHORFAKKAN GRO,AL DHAID,0,243.2,0.0,60.0,61.55,230.8,1138.4799999999998,141.60000000000002,283.6,148.0,8,342,0,13.8,0.0,139,Mar 2026,1 Month,,,,
510010018,51047,FUJ BQ,Shakkeer,AJWA AL KHORE CAFE,AL DHAID,0,40.0,0.0,186.3,70.0,58.0,221.06,365.16,0.0,0.0,0,20,0,0.0,81.75,0,Mar 2026,1 Month,,,,
510010022,51047,FUJ BQ,Shakkeer,SAFEENAAT NOUH GRO,AL DHAID,0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,179.57000000000002,21,0,0,0.0,0.0,0,Dec 2025,4–6 Months,,,,
510010033,51047,FUJ BQ,Shakkeer,AL AROOBA CANTEEN,AL DHAID,0,0.0,0.0,0.0,140.8,0.0,70.4,136.0,140.8,70.4,70,0,0,0.0,0.0,70,Dec 2025,4–6 Months,,,,
510010041,51047,FUJ BQ,Shakkeer,BUHAIRAT KALBA CAFE,AL DHAID,0,0.0,0.0,0.0,92.0,80.0,83.44,226.44,0.0,256.0,34,161,133,0.0,0.0,0,Dec 2025,4–6 Months,,,,
510010043,51047,FUJ BQ,Shakkeer,SIMLA S/M,AL DHAID,0,150.4,0.0,0.0,171.3,0.0,88.80000000000001,147.2,231.15,269.66,0,253,143,0.0,0.0,257,Mar 2026,1 Month,,,,
510010050,51047,FUJ BQ,Shakkeer,NEW PORT S/M,AL DHAID,0,0.0,137.6,268.29999999999995,127.6,442.88000000000005,360.62,347.75,327.68,418.4000000000001,335,444,238,425.6,448.0,252,Feb 2026,1–3 Months,,,,
